name,population,median_income,state,place
"Aberdeen city, Washington",16842,43836,53,00100
"Aberdeen Gardens CDP, Washington",278,-666666666,53,00135
"Acme CDP, Washington",108,-666666666,53,00275
"Addy CDP, Washington",45,-666666666,53,00380
"Ahtanum CDP, Washington",3906,72264,53,00800
"Airway Heights city, Washington",10108,55932,53,00905
"Albion town, Washington",580,54750,53,01010
"Alder CDP, Washington",189,109345,53,01045
"Alderton CDP, Washington",2610,97941,53,01150
"Alderwood Manor CDP, Washington",10359,102226,53,01185
"Alger CDP, Washington",222,66637,53,01255
"Algona city, Washington",3271,78040,53,01290
"Allyn CDP, Washington",2363,94952,53,01430
"Almira town, Washington",296,63750,53,01500
"Altoona CDP, Washington",33,-666666666,53,01745
"Amanda Park CDP, Washington",84,50625,53,01780
"Amboy CDP, Washington",1832,114432,53,01850
"Ames Lake CDP, Washington",1264,146481,53,01920
"Anacortes city, Washington",17437,80043,53,01990
"Anatone CDP, Washington",11,-666666666,53,02025
"Anderson Island CDP, Washington",1564,85625,53,02060
"Arlington city, Washington",19832,87708,53,02585
"Arlington Heights CDP, Washington",2774,91190,53,02620
"Artondale CDP, Washington",14495,131003,53,02910
"Ashford CDP, Washington",657,69778,53,03005
"Asotin city, Washington",1072,59663,53,03075
"Auburn city, Washington",85306,79415,53,03180
"Bainbridge Island city, Washington",24557,145475,53,03736
"Bangor Base CDP, Washington",6407,75068,53,04100
"Banks Lake South CDP, Washington",133,25833,53,04125
"Barberton CDP, Washington",7865,106022,53,04195
"Baring CDP, Washington",188,67778,53,04300
"Barney's Junction CDP, Washington",58,-666666666,53,04347
"Barstow CDP, Washington",58,60909,53,04370
"Basin City CDP, Washington",796,112694,53,04405
"Battle Ground city, Washington",20536,85943,53,04475
"Bay Center CDP, Washington",165,56458,53,04615
"Bay View CDP, Washington",658,115938,53,04790
"Beacon Hill CDP, Washington",1925,89464,53,04825
"Beaux Arts Village town, Washington",325,250001,53,04895
"Belfair CDP, Washington",4179,55325,53,05140
"Bellevue city, Washington",149365,140252,53,05210
"Bell Hill CDP, Washington",805,68255,53,05245
"Bellingham city, Washington",90545,59163,53,05280
"Benton City city, Washington",3435,49068,53,05560
"Bethel CDP, Washington",4056,73015,53,05735
"Beverly CDP, Washington",0,-666666666,53,05770
"Bickleton CDP, Washington",82,77500,53,05980
"Big Lake CDP, Washington",2279,107059,53,06050
"Bingen city, Washington",786,65278,53,06085
"Birch Bay CDP, Washington",10062,65729,53,06190
"Black Diamond city, Washington",5002,118140,53,06330
"Blaine city, Washington",5773,76272,53,06505
"Blyn CDP, Washington",28,-666666666,53,06855
"Bonney Lake city, Washington",22229,108705,53,07170
"Bothell city, Washington",47355,116578,53,07380
"Bothell East CDP, Washington",13437,140397,53,07390
"Bothell West CDP, Washington",20180,129246,53,07395
"Boulevard Park CDP, Washington",4544,65691,53,07397
"Bow CDP, Washington",487,59381,53,07450
"Boyds CDP, Washington",28,-666666666,53,07485
"Brady CDP, Washington",973,85294,53,07590
"Bremerton city, Washington",43345,61741,53,07695
"Brewster city, Washington",2329,46667,53,07835
"Bridgeport city, Washington",2412,52212,53,07870
"Brier city, Washington",6524,132857,53,07940
"Brinnon CDP, Washington",881,53403,53,08080
"Browns Point CDP, Washington",1069,91406,53,08325
"Brush Prairie CDP, Washington",2738,109118,53,08465
"Bryant CDP, Washington",2074,106985,53,08500
